Procedure Code,Procedure,Note
OA,"Various different grades with partly very high viscosity. Lubricating oil / fuel additives are
TOP
495
MENU
insoluble in water but soluble in other lube oils, gasoil and other hydrocarbon solvents. Some lubricating oil additives (including but not limited to the LUBRIZOL brand) react with water to create sticky persistent residues. In these cases it is wise to pre-wash the tank with a hydrocarbon solvent.

1. Butterworth with sea water at 40 °C to 70 °C for 2 hours (Depending on the viscosity pre-clean the tank with water of a warm to moderate temperature)
2. Recirculation in sea water or fresh water at 60 °C to 70 °C for 2 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
3. Butterworth with sea water at 70 °C to 80 °C for 1 hour
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
OA+,"Various different grades with partly very high viscosity. Lubricating oil / fuel additives are
TOP
495
MENU
insoluble in water but soluble in other lube oils, gasoil and other hydrocarbon solvents. Some lubricating oil additives (including but not limited to the LUBRIZOL brand) react with water to create sticky persistent residues. In these cases it is wise to pre-wash the tank with a hydrocarbon solvent.

1. Butterworth with sea water at 40 °C to 70 °C for 2 hours (Depending on the viscosity pre-clean the tank with water of a warm to moderate temperature)
2. Recirculation in sea water or fresh water at 60 °C to 70 °C for 2 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
3. Butterworth with sea water at 70 °C to 80 °C for 1 hour
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
OA-,"Various different grades with partly very high viscosity. Lubricating oil / fuel additives are
TOP
495
MENU
insoluble in water but soluble in other lube oils, gasoil and other hydrocarbon solvents. Some lubricating oil additives (including but not limited to the LUBRIZOL brand) react with water to create sticky persistent residues. In these cases it is wise to pre-wash the tank with a hydrocarbon solvent.

1. Butterworth with sea water at 40 °C to 70 °C for 2 hours (Depending on the viscosity pre-clean the tank with water of a warm to moderate temperature)
2. Recirculation in sea water or fresh water at 60 °C to 70 °C for 2 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
3. Butterworth with sea water at 70 °C to 80 °C for 1 hour
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
OB,"Clean initially at a temperature of 20-25°C above the melting point of the respective wax. There should be no ballast water adjacent to the tank being cleaned.

1. Butterworth with sea water at 60 °C to 90 °C for 2,5 hours (Start with a temperature of 20-25°C above the melting point of the wax and increase to maximum temperature after 40-60 minutes)
2. Rinse with fresh water at 70 °C to 80 °C for 20 minutes
3. Vent, mop and dry
4. Optional Recirculation in sea water or fresh water at 70 °C to 80 °C for 2 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, If waxy residues present.)",
OB+,"Clean initially at a temperature of 20-25°C above the melting point of the respective wax. There should be no ballast water adjacent to the tank being cleaned.

1. Butterworth with sea water at 60 °C to 90 °C for 2,5 hours (Start with a temperature of 20-25°C above the melting point of the wax and increase to maximum temperature after 40-60 minutes)
2. Rinse with fresh water at 70 °C to 80 °C for 20 minutes
3. Vent, mop and dry
4. Optional Recirculation in sea water or fresh water at 70 °C to 80 °C for 2 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, If waxy residues present.)
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
OB-,"Clean initially at a temperature of 20-25°C above the melting point of the respective wax. There should be no ballast water adjacent to the tank being cleaned.

1. Butterworth with sea water at 60 °C to 90 °C for 2,5 hours (Start with a temperature of 20-25°C above the melting point of the wax and increase to maximum temperature after 40-60 minutes)
2. Rinse with fresh water at 70 °C to 80 °C for 20 minutes
3. Vent, mop and dry
4. Optional Recirculation in sea water or fresh water at 70 °C to 80 °C for 2 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, If waxy residues present.)
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
OC,"Always try to prevent latex from drying out by keeping the tank closed. If allowed by the receiver / charterer, introduce in intervals steam into the tank during discharging, but avoid any warming up. After discharging immediately wash the tank down with cold fresh water.

1. Butterworth with ambient temperature fresh water for 1,5 hours (Immediately after completion of discharge wash the tank down with cold fresh water)
2. Recirc./Injection with ambient temperature sea water or fresh water for 1,5 hours and use one of these cleaners:
- Detergent
(Latex Remover)
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry",
OC+,"Always try to prevent latex from drying out by keeping the tank closed. If allowed by the receiver / charterer, introduce in intervals steam into the tank during discharging, but avoid any warming up. After discharging immediately wash the tank down with cold fresh water.

1. Butterworth with ambient temperature fresh water for 1,5 hours (Immediately after completion of discharge wash the tank down with cold fresh water)
2. Recirc./Injection with ambient temperature sea water or fresh water for 1,5 hours and use one of these cleaners:
- Detergent
(Latex Remover)
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
OC-,"Always try to prevent latex from drying out by keeping the tank closed. If allowed by the receiver / charterer, introduce in intervals steam into the tank during discharging, but avoid any warming up. After discharging immediately wash the tank down with cold fresh water.

1. Butterworth with ambient temperature fresh water for 1,5 hours (Immediately after completion of discharge wash the tank down with cold fresh water)
2. Recirc./Injection with ambient temperature sea water or fresh water for 1,5 hours and use one of these cleaners:
- Detergent
(Latex Remover)
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
P,"Vegetable oils may react with the water hardness compounds in sea water which could result in the formation of white deposits on the tank walls. Metalbright / Rust Remover can be used for their removal.

1. Butterworth with sea water at 50 °C to 70 °C for 1,5 hours (Keep temperature 20/25°C above the melting point)
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 10 minutes (To remove sea water residues)
4. Recirculation in fresh water at 60 °C to 70 °C for 1,5 hours and use one of these cleaners:
- Alkaline (caustic potash)
- Alkaline (caustic soda)
- Detergent
- Alkaline safety (zinc)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
5. Rinse with ambient temperature fresh water for 20 minutes
6. Vent, mop and dry
7. Optional Recirculation in fresh water at 45 °C to 50 °C for 1,5 hours and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits, Not for zinc silicate coatings)",
P+,"Vegetable oils may react with the water hardness compounds in sea water which could result in the formation of white deposits on the tank walls. Metalbright / Rust Remover can be used for their removal.

1. Butterworth with sea water at 50 °C to 70 °C for 1,5 hours (Keep temperature 20/25°C above the melting point)
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 10 minutes (To remove sea water residues)
4. Recirculation in fresh water at 60 °C to 70 °C for 1,5 hours and use one of these cleaners:
- Alkaline (caustic potash)
- Alkaline (caustic soda)
- Detergent
- Alkaline safety (zinc)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
5. Rinse with ambient temperature fresh water for 20 minutes
6. Vent, mop and dry
7. Optional Recirculation in fresh water at 45 °C to 50 °C for 1,5 hours and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits, Not for zinc silicate coatings)
8. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
P-,"Vegetable oils may react with the water hardness compounds in sea water which could result in the formation of white deposits on the tank walls. Metalbright / Rust Remover can be used for their removal.

1. Butterworth with sea water at 50 °C to 70 °C for 1,5 hours (Keep temperature 20/25°C above the melting point)
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 10 minutes (To remove sea water residues)
4. Recirculation in fresh water at 60 °C to 70 °C for 1,5 hours and use one of these cleaners:
- Alkaline (caustic potash)
- Alkaline (caustic soda)
- Detergent
- Alkaline safety (zinc)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
5. Rinse with ambient temperature fresh water for 20 minutes
6. Vent, mop and dry
7. Optional Recirculation in fresh water at 45 °C to 50 °C for 1,5 hours and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits, Not for zinc silicate coatings)
8. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
PA,"Drying and semi-drying vegetable oils are natural oils which, when exposed to the air, oxidise to form a tough, elastic film. Tanks should be cleaned immediately after discharge with ambient temperature water and any adjacent heat should be avoided. If cleaning cannot commence immediately wash the tank down with cold fresh water.

1. Butterworth with ambient temperature sea water for 1,5 hours (Ambient temperature due to drying oil)
2. Butterworth with sea water at 50 °C to 60 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 10 minutes (To remove sea water residues)
4. Recirculation in fresh water at 60 °C to 70 °C for 1,5 hours and use one of these cleaners:
- Alkaline (caustic potash)
- Alkaline (caustic soda)
- Detergent
- Alkaline safety (zinc)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
5. Rinse with ambient temperature fresh water for 20 minutes
6. Vent, mop and dry",
PA+,"Drying and semi-drying vegetable oils are natural oils which, when exposed to the air, oxidise to form a tough, elastic film. Tanks should be cleaned immediately after discharge with ambient temperature water and any adjacent heat should be avoided. If cleaning cannot commence immediately wash the tank down with cold fresh water.

1. Butterworth with ambient temperature sea water for 1,5 hours (Ambient temperature due to drying oil)
2. Butterworth with sea water at 50 °C to 60 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 10 minutes (To remove sea water residues)
4. Recirculation in fresh water at 60 °C to 70 °C for 1,5 hours and use one of these cleaners:
- Alkaline (caustic potash)
- Alkaline (caustic soda)
- Detergent
- Alkaline safety (zinc)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
5. Rinse with ambient temperature fresh water for 20 minutes
6. Vent, mop and dry
7. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
PA-,"Drying and semi-drying vegetable oils are natural oils which, when exposed to the air, oxidise to form a tough, elastic film. Tanks should be cleaned immediately after discharge with ambient temperature water and any adjacent heat should be avoided. If cleaning cannot commence immediately wash the tank down with cold fresh water.

1. Butterworth with ambient temperature sea water for 1,5 hours (Ambient temperature due to drying oil)
2. Butterworth with sea water at 50 °C to 60 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 10 minutes (To remove sea water residues)
4. Recirculation in fresh water at 60 °C to 70 °C for 1,5 hours and use one of these cleaners:
- Alkaline (caustic potash)
- Alkaline (caustic soda)
- Detergent
- Alkaline safety (zinc)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
5. Rinse with ambient temperature fresh water for 20 minutes
6. Vent, mop and dry
7. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
PB,"Vegetable fatty acids may react with the water hardness compounds in sea water which could result in the formation of white deposits on the tank walls. Metalbright / Rust Remover can be used for their removal.

1. Butterworth with fresh water at 50 °C to 70 °C for 1 hour (Use fresh water only to avoid the formation of sticky white residues on the tank walls and keep the washing water temperature 20-25°C above the melting point of the vegetable oil)
2. Butterworth with sea water at 70 °C to 80 °C for 2 hours
3. Rinse with ambient temperature fresh water for 10 minutes (To remove sea water residues)
4. Recirculation in fresh water at 60 °C to 70 °C for 1,5 hours and use one of these cleaners:
- Alkaline (caustic potash)
- Alkaline (caustic soda)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
5. Rinse with ambient temperature fresh water for 20 minutes
6. Vent, mop and dry
7. Optional Recirculation in fresh water at 45 °C to 50 °C for 1,5 hours and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)",
PB+,"Vegetable fatty acids may react with the water hardness compounds in sea water which could result in the formation of white deposits on the tank walls. Metalbright / Rust Remover can be used for their removal.

1. Butterworth with fresh water at 50 °C to 70 °C for 1 hour (Use fresh water only to avoid the formation of sticky white residues on the tank walls and keep the washing water temperature 20-25°C above the melting point of the vegetable oil)
2. Butterworth with sea water at 70 °C to 80 °C for 2 hours
3. Rinse with ambient temperature fresh water for 10 minutes (To remove sea water residues)
4. Recirculation in fresh water at 60 °C to 70 °C for 1,5 hours and use one of these cleaners:
- Alkaline (caustic potash)
- Alkaline (caustic soda)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
5. Rinse with ambient temperature fresh water for 20 minutes
6. Vent, mop and dry
7. Optional Recirculation in fresh water at 45 °C to 50 °C for 1,5 hours and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)
8. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
PB-,"Vegetable fatty acids may react with the water hardness compounds in sea water which could result in the formation of white deposits on the tank walls. Metalbright / Rust Remover can be used for their removal.

1. Butterworth with fresh water at 50 °C to 70 °C for 1 hour (Use fresh water only to avoid the formation of sticky white residues on the tank walls and keep the washing water temperature 20-25°C above the melting point of the vegetable oil)
2. Butterworth with sea water at 70 °C to 80 °C for 2 hours
3. Rinse with ambient temperature fresh water for 10 minutes (To remove sea water residues)
4. Recirculation in fresh water at 60 °C to 70 °C for 1,5 hours and use one of these cleaners:
- Alkaline (caustic potash)
- Alkaline (caustic soda)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
5. Rinse with ambient temperature fresh water for 20 minutes
6. Vent, mop and dry
7. Optional Recirculation in fresh water at 45 °C to 50 °C for 1,5 hours and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)
8. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
PC,"1. Butterworth with sea water at 50 °C to 60 °C for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 2 hours
3. Recirculation in fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
PC+,"1. Butterworth with sea water at 50 °C to 60 °C for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 2 hours
3. Recirculation in fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
PC-,"1. Butterworth with sea water at 50 °C to 60 °C for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 2 hours
3. Recirculation in fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
R,"1. Butterworth with sea water at 40 °C for 1,5 hours
2. Butterworth with sea water at 75 °C to 80 °C for 3 hours
3. Rinse with ambient temperature fresh water for 10 minutes (To remove sea water residues)
4. Recirculation in fresh water at 60 °C to 70 °C for 2 hours and use one of these cleaners:
- Alkaline (caustic potash)
- Alkaline (caustic soda)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
5. Rinse with ambient temperature fresh water for 20 minutes
6. Vent, mop and dry",
R+,"1. Butterworth with sea water at 40 °C for 1,5 hours
2. Butterworth with sea water at 75 °C to 80 °C for 3 hours
3. Rinse with ambient temperature fresh water for 10 minutes (To remove sea water residues)
4. Recirculation in fresh water at 60 °C to 70 °C for 2 hours and use one of these cleaners:
- Alkaline (caustic potash)
- Alkaline (caustic soda)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
5. Rinse with ambient temperature fresh water for 20 minutes
6. Vent, mop and dry
7. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
R-,"1. Butterworth with sea water at 40 °C for 1,5 hours
2. Butterworth with sea water at 75 °C to 80 °C for 3 hours
3. Rinse with ambient temperature fresh water for 10 minutes (To remove sea water residues)
4. Recirculation in fresh water at 60 °C to 70 °C for 2 hours and use one of these cleaners:
- Alkaline (caustic potash)
- Alkaline (caustic soda)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
5. Rinse with ambient temperature fresh water for 20 minutes
6. Vent, mop and dry
7. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
S,"Iso-cyanates react with water to form polyurea and CO2. Tanks and lines need to be cleaned first with a suitable and dry solvent like Methylene chloride (MEC) or Perchloroethylene (PER). Flush first the lines with MEC or PER thereafter fill 5-10 M³ of MEC or PER into the tank and butterworth by recirculation. All equipment used must be dry.

1. Recirculation in ambient temperature mec/per for 1 hour
2. Recirculation in ambient temperature mec/per for 1 hour (Prepare a new batch of MEC or PER and repeat step 1)
3. Butterworth with ambient temperature sea water for 1,5 hours
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
S+,"Iso-cyanates react with water to form polyurea and CO2. Tanks and lines need to be cleaned first with a suitable and dry solvent like Methylene chloride (MEC) or Perchloroethylene (PER). Flush first the lines with MEC or PER thereafter fill 5-10 M³ of MEC or PER into the tank and butterworth by recirculation. All equipment used must be dry.

1. Recirculation in ambient temperature mec/per for 1 hour
2. Recirculation in ambient temperature mec/per for 1 hour (Prepare a new batch of MEC or PER and repeat step 1)
3. Butterworth with ambient temperature sea water for 1,5 hours
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
S-,"Iso-cyanates react with water to form polyurea and CO2. Tanks and lines need to be cleaned first with a suitable and dry solvent like Methylene chloride (MEC) or Perchloroethylene (PER). Flush first the lines with MEC or PER thereafter fill 5-10 M³ of MEC or PER into the tank and butterworth by recirculation. All equipment used must be dry.

1. Recirculation in ambient temperature mec/per for 1 hour
2. Recirculation in ambient temperature mec/per for 1 hour (Prepare a new batch of MEC or PER and repeat step 1)
3. Butterworth with ambient temperature sea water for 1,5 hours
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
T,"1. Butterworth with sea water at 55 °C to 60 °C for 2 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 2 hours
3. Recirculation in sea water or fresh water at 70 °C to 80 °C for 2 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
T+,"1. Butterworth with sea water at 55 °C to 60 °C for 2 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 2 hours
3. Recirculation in sea water or fresh water at 70 °C to 80 °C for 2 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
T-,"1. Butterworth with sea water at 55 °C to 60 °C for 2 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 2 hours
3. Recirculation in sea water or fresh water at 70 °C to 80 °C for 2 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
TA,"Careful cleaning is necessary to avoid contamination, because both cargoes consist of very different chemical components.

1. Butterworth with sea water at 55 °C to 60 °C for 1 hour (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 70 °C to 80 °C for 1 hour and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
TA+,"Careful cleaning is necessary to avoid contamination, because both cargoes consist of very different chemical components.

1. Butterworth with sea water at 55 °C to 60 °C for 1 hour (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 70 °C to 80 °C for 1 hour and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
TA-,"Careful cleaning is necessary to avoid contamination, because both cargoes consist of very different chemical components.

1. Butterworth with sea water at 55 °C to 60 °C for 1 hour (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 70 °C to 80 °C for 1 hour and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
TX,It is advisable NOT to load and carry this product after this cargo.,
U,"1. Butterworth with sea water at 50 °C to 55 °C for 1,5 hours (Non drying oil, but do not pre-clean with temperature exceeding 55°C to avoid formation of white residues.)
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 10 minutes (To remove sea water residues)
4. Recirculation in fresh water at 60 °C to 70 °C for 1,5 hours and use one of these cleaners:
- Alkaline (caustic potash)
- Alkaline (caustic soda)
- Detergent
- Alkaline safety (zinc)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
5. Rinse with ambient temperature fresh water for 20 minutes
6. Vent, mop and dry",
U+,"1. Butterworth with sea water at 50 °C to 55 °C for 1,5 hours (Non drying oil, but do not pre-clean with temperature exceeding 55°C to avoid formation of white residues.)
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 10 minutes (To remove sea water residues)
4. Recirculation in fresh water at 60 °C to 70 °C for 1,5 hours and use one of these cleaners:
- Alkaline (caustic potash)
- Alkaline (caustic soda)
- Detergent
- Alkaline safety (zinc)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
5. Rinse with ambient temperature fresh water for 20 minutes
6. Vent, mop and dry
7. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
U-,"1. Butterworth with sea water at 50 °C to 55 °C for 1,5 hours (Non drying oil, but do not pre-clean with temperature exceeding 55°C to avoid formation of white residues.)
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 10 minutes (To remove sea water residues)
4. Recirculation in fresh water at 60 °C to 70 °C for 1,5 hours and use one of these cleaners:
- Alkaline (caustic potash)
- Alkaline (caustic soda)
- Detergent
- Alkaline safety (zinc)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
5. Rinse with ambient temperature fresh water for 20 minutes
6. Vent, mop and dry
7. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
V,"1. Butterworth with sea water at 55 °C to 60 °C for 2 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 2 hours
3. Recirculation in fresh water at 50 °C to 80 °C for 2 hours and use one of these cleaners:
- Solvent cleaner (other)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
V+,"1. Butterworth with sea water at 55 °C to 60 °C for 2 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 2 hours
3. Recirculation in fresh water at 50 °C to 80 °C for 2 hours and use one of these cleaners:
- Solvent cleaner (other)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
V-,"1. Butterworth with sea water at 55 °C to 60 °C for 2 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 2 hours
3. Recirculation in fresh water at 50 °C to 80 °C for 2 hours and use one of these cleaners:
- Solvent cleaner (other)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
VA,"1. Butterworth with sea water at 55 °C to 60 °C for 1 hour
2. Rinse with fresh water at 70 °C to 80 °C for 20 minutes
3. Vent, mop and dry",
VA+,"1. Butterworth with sea water at 55 °C to 60 °C for 1 hour
2. Rinse with fresh water at 70 °C to 80 °C for 20 minutes
3. Vent, mop and dry
4. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
VA-,"1. Butterworth with sea water at 55 °C to 60 °C for 1 hour
2. Rinse with fresh water at 70 °C to 80 °C for 20 minutes
3. Vent, mop and dry
4. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
VB,Creosote (Coal tar) is a distillation product of Coal tar Pitch. Stripping and draining could be sufficient to load a cargo of Coal Tar. Check loading requirements with shipper / charterer. If cleaning is necessary perform cleaning procedure VA.,
VB+,"Creosote (Coal tar) is a distillation product of Coal tar Pitch. Stripping and draining could be sufficient to load a cargo of Coal Tar. Check loading requirements with shipper / charterer. If cleaning is necessary perform cleaning procedure VA.
Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
VB-,"Creosote (Coal tar) is a distillation product of Coal tar Pitch. Stripping and draining could be sufficient to load a cargo of Coal Tar. Check loading requirements with shipper / charterer. If cleaning is necessary perform cleaning procedure VA.
Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
VX,It is advisable NOT to load and carry this product after this cargo.,
W,"1. Butterworth with sea water at 55 °C to 65 °C for 1,5 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 3 hours
3. Recirculation in sea water or fresh water at 50 °C to 80 °C for 2 hours and use one of these cleaners:
- Solvent cleaner (other)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
